"EMPNO","ENAME","JOB","MGR","HIREDATE","SAL","COMM","DEPTNO"
7782,"CLARK","MANAGER",7839,09-JUN-1981,2450,,10
7566,"JONES","MANAGER",7839,02-APR-1981,2975,,20
7788,"SCOTT","ANALYST",7566,13-JUL-1987,3000,,20
7902,"FORD","ANALYST",7566,03-DEC-1981,3000,,20
7369,"SMITH","CLERK",7902,17-DEC-1980,800,,20
7499,"ALLEN","SALESMAN",7698,20-FEB-1981,1600,300,30
7521,"WARD","SALESMAN",7698,22-FEB-1981,1250,500,30
7654,"MARTIN","SALESMAN",7698,28-SEP-1981,1250,1400,30
7844,"TURNER","SALESMAN",7698,08-SEP-1981,1500,0,30
7876,"ADAMS","CLERK",7788,13-JUL-1987,1100,,20
7900,"JAMES","CLERK",7698,03-DEC-1981,950,,30
7934,"MILLER","CLERK",7782,23-JAN-1982,1300,,10
